행사명,날짜,시작 시간,끝나는 시간,호선,역명,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
싸이 흠뻑쇼,2022-07-17,18:42,22:40,2호선,당산,하차,51,235,231,302,383,417,511,524,519,551,638,689,765,764,678,698,657,515,376,16.0
워터밤 2022,2022-06-24,12:00,22:00,2호선,당산,하차,108,483,1264,3333,1479,673,539,628,772,777,947,1190,1787,3296,1902,1154,1119,1094,867,361.0
워터밤 2022,2022-06-25,12:00,22:00,2호선,당산,하차,96,364,314,527,704,673,708,778,813,867,1011,1154,1280,1174,862,816,851,1020,804,27.0
워터밤 2022,2022-06-26,12:00,22:00,2호선,당산,하차,52,242,233,286,435,407,392,479,593,576,670,735,686,731,659,617,597,529,470,8.0
bts 콘서트 2019,2019-10-26,18:30,,2호선,당산,하차,155,538,445,789,1178,1137,1032,1175,1349,1498,1567,1563,1867,1597,1290,1217,1270,1097,1030,163.0
bts 콘서트 2019,2019-10-27,18:30,,2호선,당산,하차,85,381,214,457,655,823,849,853,954,1090,1260,1063,1172,1100,959,936,868,767,572,26.0
bts 콘서트 2019,2019-10-29,18:30,,2호선,당산,하차,169,634,1376,4447,1904,893,765,820,940,936,1082,1342,1821,3376,2622,1610,1497,1441,923,278.0
bts 콘서트 2018,2018-08-25,18:30,,2호선,당산,하차,159,412,504,789,892,976,924,1165,1134,1083,1231,1396,1503,1571,1049,1084,1174,1127,861,223.0
bts 콘서트 2018,2018-08-26,18:30,,2호선,당산,하차,81,314,297,329,554,461,687,847,828,796,869,868,958,934,800,891,811,743,510,23.0
조용필 콘서트 2018,2018-05-12,19:30,,2호선,당산,하차,137,502,419,771,1014,942,959,1193,1244,1148,1239,1278,1433,1339,1013,1011,1082,1054,900,151.0
